LogicalTGA,SourceClass,ActualPath,Exists,DecodeOK,ActualWidth,ActualHeight,ExpectedWidth,ExpectedHeight,ActualSizeBytes,ExpectedFileSizeKB,SizeOK,DimensionsOK,Status,Error
textures/ui/god minor icon norse heimdall.tga,normal,D:\AI_upscaling\AoMEE\extracted\textures\ui\god minor icon norse heimdall.tga,True,True,64,64,64,64,16402,16.0,False,True,FAIL,file size mismatch; 
textures/ui/god minor icon norse hel.tga,normal,D:\AI_upscaling\AoMEE\extracted\textures\ui\god minor icon norse hel.tga,True,True,64,64,64,64,16402,16.0,False,True,FAIL,file size mismatch; 
textures/ui/god minor icon norse njord.tga,normal,D:\AI_upscaling\AoMEE\extracted\textures\ui\god minor icon norse njord.tga,True,True,64,64,64,64,16402,16.0,False,True,FAIL,file size mismatch; 
textures/ui/god minor icon norse skadi.tga,normal,D:\AI_upscaling\AoMEE\extracted\textures\ui\god minor icon norse skadi.tga,True,True,64,64,64,64,16402,16.0,False,True,FAIL,file size mismatch; 
textures/ui/god minor icon norse tyr.tga,normal,D:\AI_upscaling\AoMEE\extracted\textures\ui\god minor icon norse tyr.tga,True,True,64,64,64,64,16402,16.0,False,True,FAIL,file size mismatch; 
textures/ui/god minor portrait egypt sekhmet.tga,normal,D:\AI_upscaling\AoMEE\extracted\textures\ui\god minor portrait egypt sekhmet.tga,True,True,256,256,256,256,262162,256.0,False,True,FAIL,file size mismatch; 
textures/ui/god minor portrait greek aphrodite.tga,normal,D:\AI_upscaling\AoMEE\extracted\textures\ui\god minor portrait greek aphrodite.tga,True,True,256,256,256,256,262162,256.0,False,True,FAIL,file size mismatch; 
textures/ui/god minor portrait norse heimdall.tga,normal,D:\AI_upscaling\AoMEE\extracted\textures\ui\god minor portrait norse heimdall.tga,True,True,256,256,256,256,262162,256.0,False,True,FAIL,file size mismatch; 
textures/ui/god minor portrait norse njord.tga,normal,D:\AI_upscaling\AoMEE\extracted\textures\ui\god minor portrait norse njord.tga,True,True,256,256,256,256,262162,256.0,False,True,FAIL,file size mismatch; 
textures/ui/godselect e bottom.tga,normal,D:\AI_upscaling\AoMEE\extracted\textures\ui\godselect e bottom.tga,True,True,16,16,16,16,1042,1.0,False,True,FAIL,file size mismatch; 
textures/ui/godselect e bottomleft.tga,normal,D:\AI_upscaling\AoMEE\extracted\textures\ui\godselect e bottomleft.tga,True,True,32,32,32,32,4114,4.0,False,True,FAIL,file size mismatch; 
textures/ui/godselect e bottomright.tga,normal,D:\AI_upscaling\AoMEE\extracted\textures\ui\godselect e bottomright.tga,True,True,32,32,32,32,4114,4.0,False,True,FAIL,file size mismatch; 
textures/ui/godselect e left.tga,normal,D:\AI_upscaling\AoMEE\extracted\textures\ui\godselect e left.tga,True,True,16,16,16,16,1042,1.0,False,True,FAIL,file size mismatch; 
textures/ui/godselect e right.tga,normal,D:\AI_upscaling\AoMEE\extracted\textures\ui\godselect e right.tga,True,True,16,16,16,16,1042,1.0,False,True,FAIL,file size mismatch; 
textures/ui/godselect e top.tga,normal,D:\AI_upscaling\AoMEE\extracted\textures\ui\godselect e top.tga,True,True,16,16,16,16,1042,1.0,False,True,FAIL,file size mismatch; 
textures/ui/godselect e topleft.tga,normal,D:\AI_upscaling\AoMEE\extracted\textures\ui\godselect e topleft.tga,True,True,32,32,32,32,4114,4.0,False,True,FAIL,file size mismatch; 
textures/ui/godselect e topright.tga,normal,D:\AI_upscaling\AoMEE\extracted\textures\ui\godselect e topright.tga,True,True,32,32,32,32,4114,4.0,False,True,FAIL,file size mismatch; 
textures/ui/g-r-a-arrow-alpha.tga,normal,D:\AI_upscaling\AoMEE\extracted\textures\ui\g-r-a-arrow-alpha.tga,True,True,16,16,16,16,1042,1.0,False,True,FAIL,file size mismatch; 
textures/ui/graphline.tga,normal,D:\AI_upscaling\AoMEE\extracted\textures\ui\graphline.tga,True,True,16,16,16,16,1042,1.0,False,True,FAIL,file size mismatch; 
textures/ui/graphlinefiller.tga,normal,D:\AI_upscaling\AoMEE\extracted\textures\ui\graphlinefiller.tga,True,True,16,16,16,16,1042,1.0,False,True,FAIL,file size mismatch; 
textures/ui/graphresign.tga,normal,D:\AI_upscaling\AoMEE\extracted\textures\ui\graphresign.tga,True,True,16,16,16,16,1042,1.0,False,True,FAIL,file size mismatch; 
